,angle,rotor_velocity,rms_current,voltage,phase_current,stator_temperature,servo_temperature,velocity_error,velocity_setpoint,velocity_output,velocity_feedback,position_error,position_setpoint,position_output,position_feedback
0,-54.73506,325.0612,0.050034143,47.26681,0.7810909,33.543297,35.037407,5.1677246,338.12674,0.8985942,332.959,0.09746933,-54.636223,0.8985942,-54.73369
0,-52.011826,254.4782,0.054054897,46.919704,0.7780398,33.540375,34.980453,10.569504,254.54074,1.021297,243.97124,0.080207825,-51.931618,1.021297,-52.011826
0,-51.3519,-229.5099,0.034794282,47.523365,-0.290633,33.5341,34.950882,15.068588,-200.9313,0.25469583,-215.9999,-0.011100769,-51.364372,0.25469583,-51.35327
0,-21.370468,-1.3004918,0.0014090189,47.583733,-0.16968362,33.527927,34.969597,-0.71166754,-1.5642772,-0.1916033,-0.85260963,-0.031284332,-21.401752,-0.18576488,-21.370468
0,-24.944824,128.76134,0.03877397,47.613914,0.39580747,33.53279,34.87916,-3.8686752,104.137726,0.21297623,108.0064,-0.009941101,-24.95309,0.21297623,-24.943146
0,-51.31302,9.574367,0.02484076,47.463,0.8503008,33.528378,35.026825,-0.34346724,2.1008763,0.48671755,2.4443436,0.022193909,-51.290825,0.45125112,-51.31302
0,-52.248535,-118.36455,0.008153487,47.040436,-0.2542614,33.537186,34.896843,-0.63010406,-116.866905,-0.18827273,-116.2368,0.016002655,-52.23322,-0.18827273,-52.24922
0,-57.0309,349.29538,0.030267695,47.35736,0.49127528,33.53363,35.130188,-4.068512,359.0367,0.36844358,363.10522,0.07469559,-56.956207,0.36844358,-57.0309
0,-41.007843,-1929.7041,0.29794976,47.387543,-0.8646534,33.539936,35.03502,11.5078125,-1902.7592,-0.3255043,-1914.267,-0.16784286,-41.193264,-0.3255043,-41.025436
0,-77.47902,-263.2042,0.021799855,47.53846,-0.3553182,33.548367,34.843117,-9.720154,-264.8095,-0.3549045,-255.08936,-0.055740356,-77.53476,-0.32941523,-77.48039
0,-65.29524,349.4853,0.0982273,47.23663,0.9931344,33.547565,34.897152,-12.17749,339.8717,0.579849,352.0492,0.07648468,-65.21876,0.579849,-65.29524
0,-64.939804,-255.55568,0.020652167,47.16117,-0.32733452,33.550125,35.025967,-6.665985,-268.92148,-0.66769993,-262.2555,-0.011436462,-64.95124,-0.66769993,-64.939804
0,-64.44879,-14.690814,0.025301734,47.296993,0.5826482,33.55008,34.94626,-6.1757393,-27.379074,-0.121850684,-21.203335,0.013435364,-64.435356,-0.121850684,-64.44879
0,-64.68506,167.62039,0.038758256,47.16117,0.6666496,33.550835,34.91979,8.452454,161.72038,0.80824894,153.26793,0.058189392,-64.62618,0.80824894,-64.68437
