,angle,rotor_velocity,rms_current,voltage,phase_current,stator_temperature,servo_temperature,velocity_error,velocity_setpoint,velocity_output,velocity_feedback,position_error,position_setpoint,position_output,position_feedback
0,-35.84076,574.93396,0.34596083,46.98007,3.2630787,38.433117,39.90719,0.5975952,602.321,3.574099,601.7234,0.1808052,-35.659958,3.574099,-35.84076
0,-26.5513,1820.0598,1.5714879,46.693333,4.8277698,38.428993,39.884922,-20.191528,1848.3331,4.4784975,1868.5247,0.24178696,-26.309526,4.4784975,-26.5513
0,68.26907,-0.08654518,0.011218061,47.1159,-0.7335718,38.441097,40.452034,1.2412735,0.32347775,-0.9263071,-0.9177958,0.0064697266,68.27554,-0.9263071,68.26907
0,-24.806946,0.6432283,0.016143313,47.17626,0.94789845,38.440765,40.436207,-2.7317224,0.31670222,0.8106498,2.8049505,0.006336212,-24.80061,0.8106498,-24.806946
0,73.71884,-0.07018004,0.009241756,47.23663,-0.6119887,38.457592,40.28567,-3.8787267,-3.785564,-0.8366864,0.093162864,-0.07570648,73.643135,-0.83636856,73.71884
0,-1.413971,-1360.3369,0.290747,47.055527,-0.8597733,38.44656,40.243828,23.650146,-1329.2118,0.10172027,-1352.8619,-0.036961913,-1.4572388,0.10172027,-1.4202881
0,17.496582,2881.9934,2.7339466,46.587692,5.4307766,38.460083,40.01465,-0.2746582,2891.3196,5.3198676,2891.5942,0.2618599,17.758423,5.3198676,17.496582
0,76.966736,-60.88672,0.047246907,47.1159,-1.6624422,38.46462,40.474205,4.192436,-62.217796,-2.2586875,-65.21315,-0.021469116,76.944565,-2.2586875,76.966034
0,15.265442,0.2474399,0.016267933,46.964977,0.9293786,38.468384,39.85053,1.1991196,0.20408605,0.61577415,-0.9950335,0.0040826797,15.269525,0.61577415,15.265442
0,-20.566193,-138.05978,0.056201,47.1008,-0.98456883,38.465393,39.81505,-10.0438385,-141.1994,-1.321139,-131.15556,0.042682648,-20.52351,-1.321139,-20.566193
0,2.497589,2132.968,1.3604846,46.859337,3.316475,38.460056,40.01175,-20.94336,2128.1194,2.5464315,2149.0627,0.12738848,2.6325326,2.5464315,2.5051575
0,15.016785,-1800.8859,1.7770678,46.768787,-5.337871,38.45529,40.050655,-19.401245,-1826.933,-6.4295335,-1804.0571,-0.21085739,14.799043,-6.4295335,15.009888
0,13.287537,2179.5784,1.3923883,46.904613,3.287535,38.451195,39.749065,-14.250244,2157.9893,2.6253207,2172.2395,0.11625099,13.403773,2.6253207,13.287537
0,22.868927,-1837.5851,1.8374238,46.768787,-5.455537,38.458588,40.378002,-13.336182,-1867.322,-6.1462927,-1853.9858,-0.21046829,22.658472,-6.1462927,22.868927
0,3.596222,1339.5613,1.2701312,46.889523,5.084298,38.45444,40.630295,0.064941406,1361.7361,5.282797,1361.6711,0.26084566,3.857059,5.282797,3.596222
0,40.71042,-620.6312,0.46424872,46.904613,-3.7763867,38.450897,40.15414,-20.706604,-650.4497,-4.665562,-629.7431,-0.14421463,40.566208,-4.665562,40.71042
0,6.6283264,167.45747,0.094549276,47.1008,2.1670241,38.44922,39.804604,58.85353,240.26514,4.236247,181.4116,0.09540129,6.7237263,4.236247,6.6283264
