,angle,rotor_velocity,rms_current,voltage,phase_current,stator_temperature,servo_temperature,velocity_error,velocity_setpoint,velocity_output,velocity_feedback,position_error,position_setpoint,position_output,position_feedback
0,108.70209,980.598,0.024772681,47.37245,-0.30270666,34.617207,34.612637,-5.302063,1003.257,-0.41808534,1008.5591,0.12069702,108.826225,-0.41808534,108.705536
0,119.49118,1569.1774,0.07668487,47.070618,-0.29363906,34.61703,34.600075,16.25476,1578.9799,-0.023390353,1562.7251,0.14479065,119.64213,-0.023390353,119.497345
0,124.89081,-163.20406,0.14996125,47.65919,-1.873531,34.588863,34.65675,4.220047,-147.75835,-1.6231525,-151.9784,-0.021064758,124.86974,-1.6231525,124.89081
0,128.78735,0.65221524,0.018266287,47.674282,-0.8176043,34.5923,34.68365,-0.5697334,0.31298658,-0.84189826,0.88272,0.0062713623,128.79362,-0.84189826,128.78735
0,123.14426,29.56965,0.010211462,47.73465,-0.80550194,34.565742,34.66332,-1.8974781,25.64557,-0.7819877,27.543049,0.009597778,123.153854,-0.7819877,123.14426
0,130.55447,-428.0062,0.35096613,47.55355,-2.9489844,34.537476,34.6646,10.852936,-424.96036,-2.837755,-435.8133,-0.11248779,130.44199,-2.837755,130.55447
0,135.94855,429.4506,0.05628613,47.1008,-1.1760305,34.539967,34.614082,11.78125,429.7257,-0.9603546,417.94446,0.05857849,136.0092,-0.9603546,135.95062
0,101.614105,851.4522,0.02343459,47.508274,-0.32190263,34.536263,34.794266,23.64569,882.0959,0.5082003,858.4502,0.12924957,101.74335,0.5082003,101.614105
0,140.56775,-781.15985,0.34804627,47.523365,-2.1819346,34.525642,34.600147,-6.64032,-787.7843,-2.2574508,-781.144,-0.12109375,140.44391,-2.2574508,140.565
0,56.359497,-764.176,0.65503186,47.629005,-3.4384737,34.551006,34.74472,16.045288,-746.7747,-2.730534,-762.82,-0.0652504,56.29425,-2.730534,56.359497
0,81.32828,878.76843,0.2149644,47.26681,-1.5707693,34.652496,34.57338,2.1514893,850.0157,-1.6491871,847.8642,0.12193298,81.45707,-1.6491871,81.335144
0,82.73404,-525.80426,0.27774173,47.26681,-2.8723447,34.683224,34.668385,-0.47546387,-551.549,-3.1947234,-551.07355,-0.067588806,82.664406,-3.1947234,82.731995
0,83.595795,42.231678,0.06241146,47.312088,-2.0339372,34.718273,34.62309,-9.058838,16.221666,-2.3949769,25.280504,0.023239136,83.61903,-2.3949769,83.595795
0,82.90823,445.60324,0.07296768,47.22154,-1.2061353,34.73095,34.698006,-10.208679,428.40726,-1.8288543,438.61594,0.0908432,83.00048,-1.8288543,82.90964
0,81.61594,547.7807,0.08339148,47.296993,-1.6694113,34.73532,34.705334,6.4017944,547.40344,-1.6813052,541.00165,0.078804016,81.69885,-1.6813052,81.620056
0,68.77316,1171.8214,0.05813302,47.37245,-0.48843944,34.7497,34.772015,7.5722656,1190.8882,-0.2657292,1183.3159,0.14609528,68.91925,-0.2657292,68.77316
0,82.42206,124.01351,0.043265767,47.56864,-1.7795852,34.737022,34.62711,-3.2491608,128.18402,-1.9295154,131.43318,0.014289856,82.43705,-1.9295154,82.42276
0,46.72159,0.800049,0.062460408,47.674282,-1.8056062,34.77893,34.71099,2.3486066,1.1142497,-1.6050196,-1.234357,0.022285461,46.743874,-1.6050196,46.72159
0,85.563934,-121.44892,0.24698918,47.493183,-3.650963,34.77701,34.576748,-6.0131226,-134.88922,-3.922649,-128.8761,-0.09199524,85.47194,-3.922649,85.563934
0,109.55585,-178.62022,0.14223617,47.463,-2.3988383,34.775414,34.65097,13.216461,-177.85025,-2.1655324,-191.06671,-0.049095154,109.50605,-2.1655324,109.555145
0,97.075806,-258.25308,0.27911106,47.417725,-3.4313817,34.755386,34.715958,-3.1023254,-265.67276,-3.6857543,-262.57043,-0.09283447,96.9823,-3.6857543,97.075134
0,103.25906,-27.829731,0.06291435,47.629005,-1.7377952,34.753265,34.63265,-12.5564995,-37.969696,-2.4972222,-25.413197,-0.010620117,103.2483,-2.4448187,103.25906
0,106.4487,-39.878864,0.075033195,47.613914,-1.8614534,34.732944,34.722733,-13.473354,-54.570225,-2.7874289,-41.09687,-0.03238678,106.41631,-2.7874289,106.4487
0,93.215,0.5432322,0.04464595,47.689373,-1.4650843,34.728355,34.711132,1.3916147,-0.13769661,-1.2276413,-1.5293113,-0.002746582,93.21225,-1.2367494,93.215
0,111.7106,-0.7806829,0.051609922,47.6441,-1.5883131,34.727272,34.741047,-0.13479453,-0.86289877,-1.736309,-0.94869435,-0.017250061,111.69335,-1.736309,111.7106
0,79.6586,0.10956967,0.048426624,47.674282,-1.5268898,34.728546,34.60258,1.9146292,0.086115025,-1.2404664,-1.8285142,0.0017242432,79.660324,-1.2404664,79.6586
0,101.98407,-7.3912745,0.03970621,47.65919,-1.4595056,34.733536,34.67752,9.68929,-0.111031555,-0.8791875,-9.800322,-0.0022277832,101.98184,-0.8791875,101.98407
0,121.59967,603.32715,0.030392842,47.508274,-0.56207085,34.736103,34.620205,13.406433,625.2185,-0.12233204,611.8121,0.109573364,121.71132,-0.12233204,121.601746
0,105.67786,262.10995,0.05658245,47.65919,-1.0148425,34.6969,34.66985,6.4362793,291.0889,-0.62578344,284.65262,0.076545715,105.75648,-0.62578344,105.67993
0,114.05661,-704.42505,0.38756338,47.56864,-2.515486,34.6921,34.695095,9.550781,-698.33746,-1.9962788,-707.88824,-0.08961487,113.967,-1.9962788,114.05661
0,116.84622,-482.5153,0.32657802,47.6441,-2.6900866,34.67727,34.61411,-8.31015,-476.32132,-2.7512724,-468.01117,-0.12037659,116.725845,-2.7512724,116.84622
0,112.69513,-1393.5703,0.7656181,47.463,-3.2242827,34.644634,34.740025,7.711426,-1398.4744,-2.7174094,-1406.1858,-0.108314514,112.58682,-2.7174094,112.69513
0,121.671814,142.35034,0.040996864,47.523365,-1.665916,34.65531,34.639698,-17.363106,114.6152,-2.008706,131.9783,-0.056770325,121.61504,-2.008706,121.671814
0,121.18924,-365.23465,0.2862997,47.14608,-3.3612587,34.62798,34.763542,-9.785492,-389.5445,-4.0075026,-379.54053,-0.08203888,121.10583,-4.0075026,121.18787
0,92.66449,1293.0393,0.028558433,47.34227,-0.064540304,34.658665,34.801453,6.72229,1323.6329,0.20923243,1316.9106,0.15137482,92.81586,0.20923243,92.66449
0,107.984924,-578.1689,0.29951757,47.523365,-2.2206688,34.644787,34.74177,-0.6274414,-582.2614,-2.0877392,-581.634,-0.053703308,107.93123,-2.0877392,107.984924
0,146.3247,-0.15254796,0.0012915432,47.65919,-0.16076443,34.643707,34.697453,1.7541223,0.01267683,0.024468541,-1.7414454,0.0009460449,146.32565,0.015145838,146.3247
0,128.79352,-0.12887394,0.01665988,47.629005,-0.77835256,34.608685,34.720467,0.31655803,0.004808453,-0.54242396,-0.31174958,9.1552734e-05,128.79361,-0.54242396,128.79352
0,128.72787,663.37555,0.02177411,47.463,-0.32118437,34.592224,34.603,6.3392334,680.2854,-0.13364714,673.94617,0.13520813,128.86583,-0.13364714,128.73062
0,130.0697,-412.72122,0.28591362,47.583733,-2.5974166,34.562416,34.616253,9.27066,-414.03375,-2.4253333,-423.3044,-0.07902527,129.99068,-2.4253333,130.0697
0,137.27554,-5.2212186,0.048549153,47.17626,-1.9393663,34.542717,34.64915,-3.4586306,-18.49158,-2.7330608,-15.0329485,-0.02017212,137.25537,-2.7330608,137.27554
0,119.561035,1274.084,0.07127507,47.32718,0.31461155,34.545326,34.703526,-2.9892578,1298.6842,0.2591491,1301.6735,0.15752411,119.72389,0.2591491,119.566376
0,135.23508,-0.5245968,0.091187574,47.674282,-2.1507902,34.51723,34.75788,2.3964086,-1.0123979,-1.7538598,-3.4088066,-0.01953125,135.21484,-1.7538598,135.23438
0,102.43439,-630.7631,0.2554131,47.523365,-1.9246502,34.536953,34.684807,-1.619873,-625.4159,-1.7599194,-623.796,-0.048477173,102.38363,-1.7599194,102.4321
0,80.915405,316.2815,0.05558954,47.689373,-1.0466005,34.525105,34.725094,16.035492,342.9032,-0.67624635,326.67972,0.12906647,81.04517,-0.67624635,80.91611
0,54.684784,259.9812,0.110414445,47.689373,-1.5823857,34.561428,34.634766,28.387695,306.15024,-0.53803575,277.80243,0.109298706,54.796124,-0.53803575,54.68683
0,75.80032,-592.0094,0.38798153,47.583733,-2.6786346,34.640644,34.64781,-4.1551514,-586.3165,-2.664878,-582.1614,-0.09836578,75.701965,-2.664878,75.80032
0,72.100586,-898.27356,0.7115441,47.598824,-3.5381877,34.659523,34.60941,-5.0721436,-891.2005,-3.4259033,-886.12836,-0.15647125,71.940674,-3.4259033,72.09714
0,81.20407,-898.4946,0.4804151,47.32718,-3.2378511,34.699883,34.713596,-15.986145,-925.0735,-3.826865,-909.08734,-0.11730957,81.08331,-3.8413677,81.201324
0,82.185455,701.242,0.1696938,47.37245,-1.6268748,34.709854,34.705513,-6.409424,673.5997,-1.9644067,680.0091,0.09473419,82.28019,-1.9644067,82.185455
0,83.48013,180.09898,0.033665463,47.25172,-1.7047725,34.73153,34.577892,-2.2066345,163.69093,-2.0735288,165.89757,0.03517914,83.51598,-2.0735288,83.480804
0,47.654236,566.6255,0.043423187,47.56864,-1.1826639,34.75746,34.7093,-1.5829468,584.36896,-1.0340035,585.9519,0.09775162,47.751984,-1.0340035,47.654236
0,82.185455,0.6126035,0.061519768,47.674282,-1.821731,34.75899,34.7183,2.1701286,0.6548239,-1.5360863,-1.5153047,0.01309967,82.198555,-1.5340524,82.185455
0,101.79263,280.1026,0.015396507,47.478092,-1.3006921,34.735756,34.79718,-5.834839,283.1667,-1.5048532,289.00153,0.05718994,101.85087,-1.4593785,101.79401
0,76.96716,-0.8874951,0.06799862,47.613914,-1.9438922,34.740837,34.728344,1.288495,0.87033,-1.6881301,-0.70074296,0.01739502,76.98456,-1.6881301,76.96716
0,96.28055,-499.59946,0.27644455,47.55355,-2.2078967,34.72926,34.82293,-5.563965,-499.28073,-2.219259,-493.71677,-0.037849426,96.2427,-2.219259,96.28055
0,91.90643,-610.6971,0.2758073,47.56864,-2.060142,34.72917,34.731876,9.1588745,-602.4315,-1.5640364,-611.5904,-0.0046157837,91.901825,-1.5640364,91.90643
0,91.691895,-416.56842,0.3432314,47.26681,-3.4090643,34.720776,34.692757,-8.672821,-437.59637,-4.071094,-428.92355,-0.09666443,91.59523,-4.071094,91.691895
0,105.93167,-198.28061,0.17258535,47.35736,-2.6276317,34.729248,34.6729,-14.343277,-209.99028,-3.2499483,-195.647,-0.037109375,105.89456,-3.2499483,105.93167
0,79.67517,-0.21716154,0.058648065,47.65919,-1.7387545,34.729946,34.568485,-1.6221597,-0.74137604,-1.9081607,0.88078374,-0.014831543,79.66034,-1.9081607,79.67517
0,111.703735,-0.07209612,0.049022835,47.674282,-1.5367174,34.750885,34.69556,-2.1376483,-0.5175644,-1.8191688,1.6200839,-0.010360718,111.693375,-1.8191688,111.703735
0,128.48984,-61.08289,0.064575374,47.56864,-1.6365397,34.72813,34.60839,-9.277557,-71.33732,-2.1594808,-62.05976,-0.030456543,128.45938,-2.1594808,128.48984
0,101.977905,0.31834495,0.04153653,47.613914,-1.4258687,34.69533,34.717693,-1.0310779,0.19627231,-1.7235417,1.2273501,0.003929138,101.981834,-1.7387345,101.977905
0,120.771454,-0.2885306,0.019113256,47.689373,-0.8317224,34.692345,34.707787,-0.8526031,-0.49002507,-0.9996963,0.36257797,-0.009796143,120.76166,-0.9996963,120.771454
0,114.678345,0.88020235,0.03754938,47.65919,-1.5019028,34.671143,34.67908,-0.50496155,-0.4686056,-1.4244299,0.036355935,-0.009384155,114.66896,-1.4244299,114.678345
0,107.40335,542.49475,0.04483721,47.613914,-0.6458264,34.66881,34.723248,11.3671875,535.0583,-0.6097955,523.6911,0.10203552,107.508125,-0.6097955,107.4061
0,118.40445,660.16754,0.038802173,47.44791,-0.6206243,34.662685,34.71012,4.701599,670.9507,-0.43307954,666.2491,0.13599396,118.53977,-0.43307954,118.40378
0,92.58246,-1143.504,0.5624656,47.583733,-2.3289485,34.64716,34.70497,4.6307373,-1128.5555,-2.0411117,-1133.1863,-0.110313416,92.47215,-2.0411117,92.58246
0,120.73288,-173.72905,0.21260409,47.55355,-2.9599469,34.662647,34.75552,3.4197235,-180.90761,-3.030601,-184.32733,-0.10877228,120.62411,-3.030601,120.73288
0,132.36304,216.76697,0.025177285,47.493183,-1.0921859,34.64046,34.673733,-9.077499,202.65582,-1.2605081,211.73332,0.03326416,132.3963,-1.2605081,132.36304
0,136.73322,263.01498,0.024960063,47.25172,-1.2328027,34.59974,34.64012,-11.853897,251.47948,-1.74578,263.33337,0.030715942,136.7646,-1.74578,136.73389
0,105.42923,13.693066,0.068487585,47.689373,-1.6321778,34.605804,34.68559,-14.105933,-0.02491653,-2.1313245,14.081017,-0.001159668,105.42807,-2.1313245,105.42923
0,135.54999,-192.46999,0.087131776,47.43282,-1.6176324,34.60003,34.540043,0.05545044,-203.28366,-1.6669409,-203.33911,-0.039001465,135.51099,-1.6669409,135.54999
0,128.79077,-0.4683353,0.025496624,47.674282,-1.0230778,34.583466,34.64846,0.35652494,0.14337933,-0.9994169,-0.21314563,0.0028686523,128.79364,-0.9994169,128.79077
0,119.13599,705.54517,0.017941907,47.44791,-0.033824872,34.563595,34.758385,3.9216309,708.89026,-0.1658139,704.9686,0.15258789,119.28857,-0.1658139,119.13599
0,130.13391,-421.1983,0.35173273,47.583733,-3.0189242,34.545425,34.571117,-1.7362976,-421.60077,-3.08456,-419.86447,-0.09814453,130.03442,-3.08456,130.13257
0,137.27072,5.094055,0.03475834,47.22154,-1.6022313,34.537968,34.600468,2.646428,-8.496232,-1.9282362,-11.14266,-0.014144897,137.25658,-1.9282362,137.27072
