,angle,rotor_velocity,rms_current,voltage,phase_current,stator_temperature,servo_temperature,velocity_error,velocity_setpoint,velocity_output,velocity_feedback,position_error,position_setpoint,position_output,position_feedback
0,-45.00387,0.95795953,0.00327869,47.1008,-0.24397694,31.922419,37.880386,0.28923187,0.19321239,0.28200117,-0.09601947,0.003868103,-45.0,0.28200117,-45.00387
0,-44.997,0.1753741,0.0024868995,46.859337,-0.2105415,31.922434,37.842472,0.20382003,-0.1499363,0.24212427,-0.35375634,-0.002998352,-45.0,0.24212427,-44.997
0,-44.998375,0.24294052,0.005078443,47.523365,-0.32439983,31.922197,37.898144,2.9352465,-0.08108801,0.1905117,-3.0163345,-0.0016212463,-44.999996,0.1905117,-44.998375
0,-45.000435,0.17908843,0.003982845,47.493183,-0.27800953,31.926249,37.763115,-0.20934677,0.02163804,-0.04751636,0.2309848,0.0004348755,-45.0,0.1758778,-45.000435
0,-44.99975,-0.16362862,0.0039362703,47.55355,-0.27768382,31.920076,37.88481,1.4852567,-0.012458265,0.1978943,-1.497715,-0.00024795532,-44.999996,0.1978943,-44.99975
0,-45.00318,-0.039283887,0.0031587768,47.37245,-0.24406709,31.910511,37.822983,-1.3437593,0.15933464,-0.03142722,1.503094,0.0031814575,-45.0,-0.03142722,-45.00318
0,-45.00112,-0.16657561,0.0035318688,47.040436,-0.25965747,31.92652,37.832127,3.098505,0.02163804,0.26505396,-3.0768669,0.001121521,-45.0,0.27029383,-45.00112
0,-44.994255,-0.12336371,0.0053368695,47.281902,-0.3333313,31.922287,37.818928,-3.318166,-0.28675866,-0.19124134,3.0314074,-0.0057373047,-44.999992,-0.19124134,-44.994255
0,-45.000435,-0.32473972,0.00437218,47.32718,-0.2957037,31.917343,37.87355,1.9124097,0.02163804,0.1951619,-1.8907716,0.0004348755,-45.0,0.1951619,-45.000435
0,-44.99975,0.20450923,0.0046497984,47.478092,-0.30683902,31.916565,37.79477,-1.3098279,-0.01267683,-0.1167786,1.2971511,-0.00025177002,-45.0,-0.12031521,-44.99975
0,-45.000435,-0.44878215,0.004874728,47.16117,-0.31617,31.926239,37.839947,-0.52645063,0.02163804,-0.09400897,0.54808867,0.0004348755,-45.0,-0.09400897,-45.000435
0,-45.00112,-0.15641631,0.00444593,47.1008,-0.29893705,31.93845,37.81667,-0.168436,0.056171473,-0.06305803,0.22460748,0.001121521,-45.0,-0.06305803,-45.00112
0,-44.99906,0.44153473,0.004103248,47.22154,-0.28241134,31.93859,37.879772,0.2460691,-0.046773136,0.20507307,-1.6991177,-0.0009384155,-45.0,0.20507307,-44.99906
0,-44.99906,0.28050813,0.0043666787,47.1008,-0.2942458,31.934555,37.871677,-0.40077668,-0.046773136,-0.073595986,0.35400355,-0.0009384155,-45.0,-0.073595986,-44.99906
0,-45.00318,-0.31148347,0.0038381715,47.14608,-0.27323225,31.934359,37.881588,-0.293611,0.15933464,-0.053980574,0.45294565,0.0031814575,-45.0,-0.053980574,-45.00318
0,-44.99975,0.30295599,0.0036729046,47.13099,-0.26360813,31.923193,37.824123,-0.27678993,-0.01267683,0.032553762,0.2641131,-0.00025177002,-45.0,0.032553762,-44.99975
0,-45.00181,0.43176687,0.004224149,47.34227,-0.28850612,31.92613,37.8276,-0.5180559,0.09048634,-0.08292501,0.60854226,0.0018081665,-45.0,-0.08292501,-45.00181
0,-44.99975,0.2299645,0.002901279,47.508274,-0.23096932,31.938461,37.97176,-0.6642185,-0.04655457,-0.020409673,0.6176639,-0.00024795532,-44.999996,-0.020409673,-44.99975
0,-44.997,-0.23021263,0.0039606495,47.281902,-0.2777769,31.932625,37.905434,-1.9513271,-0.1499363,-0.105878696,1.8013908,-0.002998352,-45.0,-0.1279528,-44.997
0,-45.00112,0.18501328,0.0048724334,47.22154,-0.3155909,31.926432,37.8169,-1.2200333,0.056171473,-0.10922943,1.2762047,0.001121521,-45.0,-0.10922943,-45.00112
0,-44.998375,0.04907345,0.0045938366,47.14608,-0.30485293,31.936842,37.94762,0.30911547,-0.08130657,0.13922298,-0.39042205,-0.001625061,-45.0,0.13922298,-44.998375
0,-45.005928,-1.0903407,0.009728422,47.37245,-0.48522103,31.922447,37.87178,0.05849591,0.2955649,-0.15744238,0.23706898,0.0059318542,-44.999996,-0.15744238,-45.005928
0,-44.99563,0.30697006,0.0035534736,47.312088,-0.25997722,31.929129,37.892784,-1.051754,-0.21856605,-0.059890136,0.833188,-0.004371643,-45.0,-0.059890136,-44.99563
0,-45.00112,-0.20666713,0.0039403597,47.493183,-0.2787128,31.934902,37.791943,1.228515,0.05639004,0.19787812,-1.172125,0.0011253357,-44.999996,0.19787812,-45.00112
0,-44.99906,0.34709907,0.0033844756,47.478092,-0.25285357,31.928339,37.873287,1.1337736,-0.046773136,0.20528488,-1.1805468,-0.0009384155,-45.0,0.20528488,-44.99906
0,-45.00181,-0.19498095,0.0039267717,47.417725,-0.27746665,31.93409,37.829304,-1.9293389,0.09070491,-0.098599985,2.0200438,0.0018119812,-44.999996,-0.098599985,-45.00181
0,-44.99975,-3.7477403e-05,0.0029365278,47.55355,-0.23202457,31.92631,37.878727,1.9921883,-0.01267683,0.25502282,-2.0048652,-0.00025177002,-45.0,0.25502282,-44.99975
0,-44.99975,-0.3755903,0.0061560026,47.296993,-0.3663228,31.91556,37.83112,-1.7800465,-0.012458265,-0.18464477,1.7675883,-0.00024795532,-44.999996,-0.18464477,-44.99975
0,-45.000435,0.08590806,0.0026601863,47.478092,-0.21938005,31.935347,37.878395,-0.22083035,0.02163804,0.00033779442,0.24246839,0.0004348755,-45.0,-0.020725906,-45.000435
0,-44.99357,0.3239069,0.00564754,47.44791,-0.3453554,31.922327,37.860023,-0.58677304,-0.3212921,-0.12942044,0.2654809,-0.006427765,-44.999996,-0.12942044,-44.99357
0,-45.00112,0.0645301,0.002946384,47.43282,-0.23365289,31.92501,37.922085,-0.057472225,0.056171473,-0.002337262,0.1136437,0.001121521,-45.0,-0.002337262,-45.00112
0,-44.994255,0.506516,0.0052690874,47.296993,-0.32930654,31.926548,37.868084,-1.506748,-0.28471884,-0.135136,1.2220291,-0.0057411194,-44.999996,-0.135136,-44.994255
0,-45.004555,0.12238258,0.003121688,47.32718,-0.23975605,31.919878,37.90316,0.3127663,0.22774582,0.24787259,-0.08502049,0.0045547485,-45.0,0.24787259,-45.004555
0,-45.00112,0.049607717,0.0036657255,46.964977,-0.2651292,31.938017,37.94911,-0.91133994,0.056171473,-0.069893524,0.9675114,0.001121521,-45.0,-0.069893524,-45.00112
0,-44.99769,0.6044319,0.004119977,47.191353,-0.28451952,31.931437,37.921146,2.2472658,-0.11540287,0.21673885,-2.3626688,-0.0023078918,-44.999996,0.21343833,-44.99769
0,-44.99975,0.005463152,0.0033103807,47.387543,-0.24911168,31.932686,37.779873,1.4460208,-0.012415021,0.22716151,-1.1667506,-0.00025177002,-45.0,0.22716151,-44.99975
0,-45.000435,-0.22653615,0.004894226,47.478092,-0.3180739,31.935854,37.891216,-0.38083333,0.021856604,-0.09331824,0.40268993,0.0004386902,-44.999996,-0.09331824,-45.000435
0,-44.99975,-0.32519907,0.0031293065,47.53846,-0.24265507,31.932346,37.917336,0.4676803,-0.01267683,0.20032926,-0.48035714,-0.00025177002,-45.0,0.20032926,-44.99975
0,-45.00181,-0.21292196,0.006176263,47.23663,-0.36712497,31.926283,37.903236,1.2476133,0.09070491,0.104884356,-1.1569084,0.0024986267,-44.999996,0.104884356,-45.002495
0,-44.99975,0.29595008,0.0030183822,47.387543,-0.23655401,31.92818,37.913273,3.3172517,-0.01267683,0.31130913,-3.3299284,-0.00025177002,-45.0,0.31130913,-44.99975
0,-45.000435,0.16974322,0.004747818,46.99516,-0.30713898,31.931786,37.878864,-0.7843341,-0.01267683,-0.09852652,0.7716573,0.0004348755,-45.0,-0.09852652,-45.000435
0,-44.998375,-0.34734303,0.004206147,47.1008,-0.28875786,31.936995,37.835308,-2.3031068,-0.08108801,-0.12002285,2.2220187,-0.0016212463,-44.999996,-0.12002285,-44.998375
0,-44.99769,0.38839605,0.0043171593,47.493183,-0.29294598,31.931221,37.88775,0.5847833,-0.11562144,0.15124178,-0.70040476,-0.0023117065,-45.0,0.15124178,-44.99769
0,-45.000435,0.05665833,0.0034509217,47.35736,-0.255984,31.926664,37.935905,-2.1779528,0.02207517,-0.09937431,2.4924443,0.00044250488,-44.999992,-0.09937431,-45.000435
0,-44.99975,0.17735538,0.0031394502,47.508274,-0.24183668,31.93465,37.89527,-0.33613864,-0.01267683,-0.028298795,0.3234618,-0.00025177002,-45.0,-0.028298795,-44.99975
0,-45.00181,0.45600086,0.004784792,47.508274,-0.31337908,31.928724,37.885815,-1.7521871,0.09048634,-0.10187481,1.0997897,0.0018081665,-45.0,-0.10187481,-45.00181
0,-44.998375,-0.30089498,0.0038530845,47.417725,-0.27432176,31.938103,37.916115,-3.38829,-0.11562144,-0.15917085,3.7086296,-0.0023117065,-45.0,-0.15917085,-44.99769
0,-45.00318,-0.060768463,0.0052064145,47.44791,-0.33025634,31.929016,37.884834,1.402831,0.15933464,0.14868012,-1.2434963,0.0031814575,-45.0,0.14868012,-45.00318
0,-44.99975,0.4871553,0.0036678782,47.14608,-0.26452255,31.942156,37.970398,-2.7610097,-0.01267683,-0.11103062,2.748333,-0.00025177002,-45.0,-0.11103062,-44.99975
0,-44.998375,-0.3183085,0.00464132,47.16117,-0.306735,31.932762,37.908848,1.8123472,-0.08130657,0.18687056,-1.8936538,-0.001625061,-45.0,0.18687056,-44.998375
0,-45.00112,-0.25463396,0.0037481524,47.14608,-0.26874435,31.935709,37.897095,-1.3031191,0.056171473,-0.079803035,1.3592905,0.001121521,-45.0,-0.079803035,-45.00112
0,-45.00112,1.3572075,0.008687488,47.34227,-0.45470348,31.92931,37.814552,-2.2000198,0.056171473,-0.018308327,2.2561913,0.0004348755,-45.0,-0.016134337,-45.000435
0,-45.00112,0.14250097,0.0045860894,47.463,-0.30487365,31.932653,37.91241,0.9344553,0.056171473,0.15724288,-0.8782838,0.001121521,-45.0,0.15724288,-45.00112
0,-44.994255,-0.40249145,0.006327592,47.281902,-0.37205216,31.931852,37.847027,1.335204,-0.28719577,0.11007127,-1.6223998,-0.005744934,-45.0,0.11007127,-44.994255
0,-45.000435,0.3215402,0.003848709,47.478092,-0.27338725,31.937147,37.874294,-0.9369251,0.02163804,-0.06425698,0.95856315,0.0004348755,-45.0,-0.06425698,-45.000435
0,-45.00112,0.05505659,0.003457046,47.402634,-0.25681433,31.937353,37.869717,0.13997735,0.05639004,-0.005293384,-0.08358731,0.0011253357,-44.999996,-0.005293384,-45.00112
0,-45.00112,0.018711828,0.0042425846,47.35736,-0.29086658,31.928904,37.902287,1.2182912,0.056171473,0.17764124,-1.1621197,0.001121521,-45.0,0.17764124,-45.00112
0,-44.99975,0.6046008,0.0040948666,47.08571,-0.28170142,31.935738,37.823803,-0.35082173,-0.012458265,0.003608495,0.33836347,-0.00024795532,-44.999996,0.003608495,-44.99975
0,-44.99906,-0.32193705,0.0045794393,47.191353,-0.30446643,31.938114,37.823196,1.5973165,-0.046773136,0.17800508,-1.6440897,-0.0009384155,-45.0,0.17800508,-44.99906
0,-45.000435,0.0043904833,0.0036678934,47.53846,-0.26635328,31.937218,37.876118,-0.48047912,0.021856604,-0.0576701,0.75994146,0.0004386902,-44.999996,-0.0576701,-45.000435
0,-44.99975,-0.11034811,0.0038119268,47.463,-0.2732627,31.93207,37.851833,1.7033406,-0.01267683,0.2098797,-1.7160175,-0.00025177002,-45.0,0.2098797,-44.99975
0,-45.004555,-0.7863955,0.009755964,47.32718,-0.48612595,31.933718,37.801273,1.2967454,0.22696121,-0.10263209,-1.0697842,0.0045547485,-45.0,-0.10263209,-45.004555
