,angle,rotor_velocity,rms_current,voltage,phase_current,stator_temperature,servo_temperature,velocity_error,velocity_setpoint,velocity_output,velocity_feedback,position_error,position_setpoint,position_output,position_feedback
0,-16.71463,618.61487,0.6479446,47.1008,5.4401054,41.948254,46.03106,0.18670654,639.63403,5.641194,639.4473,0.15872955,-16.555904,5.641194,-16.71463
0,-8.922333,1256.4401,1.2722641,46.783882,5.045793,41.93982,46.01164,4.765991,1264.0059,5.1144876,1259.2399,0.13524151,-8.781608,5.1144876,-8.91684
0,-3.8570251,206.42427,0.16933723,47.35736,1.7569227,41.93661,46.010567,-8.547012,189.14345,1.3771493,197.69046,-0.08116031,-3.9381866,1.3771493,-3.8570251
0,-29.762756,3.2933335,0.08141571,47.312088,3.081308,41.95196,45.99047,-1.7345524,0.82060623,2.816487,2.5551586,0.016410828,-29.746346,2.8427505,-29.762756
0,-31.806702,-239.41179,0.14152469,47.37245,2.3669631,41.937958,46.007675,11.473297,-211.75487,2.963784,-223.22816,0.12902832,-31.677671,2.963784,-31.806702
0,2.156433,-495.30786,0.033408508,47.26681,-0.23432252,41.944347,45.98875,10.766205,-483.4879,0.22067183,-494.25412,-0.11402869,2.041003,0.22067183,2.1550293
0,7.9506836,593.60547,0.3890691,46.783882,2.604879,41.94467,46.01736,-25.07013,576.9392,2.222768,602.00934,0.048122406,8.003624,2.222768,7.9555054
0,-22.053162,278.06686,0.30752715,47.26681,4.8896894,41.942898,45.980816,40.85742,333.03436,6.1915016,292.17694,0.08938217,-21.963781,6.1915016,-22.053162
0,0.36709595,1265.4126,0.6030589,47.16117,1.8600066,41.95252,46.086452,-7.6568604,1240.1417,1.3459499,1247.7986,0.008842021,0.38002005,1.3459499,0.3711853
0,-46.173096,-508.29504,0.3397477,47.32718,3.3247,41.945255,46.05086,9.394592,-483.88797,3.6909542,-493.28256,0.11220932,-46.062927,3.6909542,-46.17514
0,-33.321747,533.7123,0.74035954,47.025345,4.4777517,41.948017,45.922226,5.631439,514.1905,4.495496,508.55905,-4.9591064e-05,-33.319725,4.495496,-33.31967
0,-32.197906,-239.50407,0.043823812,46.949886,1.4623264,41.97542,46.01529,-33.4122,-282.63754,0.03419006,-249.22534,-0.12584686,-32.32375,0.03419006,-32.197906
